"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YAL029C",149.80219087392,0.0326800937600294,0.104018908391597,0.314174550236575,0.753388470751337,0.850465668898219
"YAL030W",89.8124782860727,-0.185755988701504,0.131466646359897,-1.41295145076559,0.157669999487776,0.282194708886064
"YAL031C",86.4703672886397,-0.634220908769174,0.141730157996669,-4.47484796273268,7.64657039136515e-06,4.62743156547873e-05
"YAL031W-A",9.66654827089492,-1.19996613633561,0.481569708493071,-2.49178076438933,0.01271044654864,0.0361832279178379
"YAL032C",84.060662112463,-0.210596130412887,0.14193582796724,-1.48374186721547,0.137877414601171,0.254814491914681
"YAL033W",33.5432818831645,-0.171135374955056,0.21961089278895,-0.779266332292182,0.435822842913245,0.596491446713923
"YAL034C",76.7675854512278,0.000527656527212939,0.143739129792192,0.00367093169393602,0.997071026855995,0.998000119286673
"YAL034C-B",2.50817394673918,-1.8415988188654,1.0922028781506,-1.68613254524996,0.0917702727093055,0.184485155212562
"YAL034W-A",19.9136978540316,-0.165169778663311,0.29237761229098,-0.564919377270688,0.57212860306555,0.712920810660394
"YAL035W",528.095908849141,0.487390476673256,0.055598320725197,8.76628053358404,1.84665553198221e-18,2.70493065991484e-17
"YAL036C",57.2097192909817,0.497410973576398,0.164468718149197,3.02435003551967,0.00249167967100951,0.00888504018857312
"YAL037C-A",0.339715493258828,-1.33078357316114,3.01242891339824,-0.441764307613128,0.658659769183929,0.781240104048211
"YAL037C-B",4225.83764535246,0.756303283443691,0.0256254407540408,29.5137668344077,1.91696548179225e-191,2.47096850603021e-189
"YAL037W",6.76246860838846,-1.5808942167073,0.615852757631857,-2.56700030505072,0.0102582522174175,0.0303842335351316
"YAL038W",8024.99651152451,1.58625157691962,0.0170732611776906,92.9085287462449,0,0
"YAL039C",295.323193874189,0.126483454305186,0.0726680668288566,1.74056445732996,0.0817599523485729,0.167602701299794
"YAL040C",86.6243549036884,-0.199526949697736,0.134665496799109,-1.48164863636441,0.138433810603088,0.255593343852877
"YAL041W",91.1459132752888,0.0802282283098377,0.132650033275072,0.604811218882027,0.545304438446098,0.69185104921406
"YAL042C-A",84.1089136994794,1.05170293271338,0.139432748380614,7.5427253993625,4.60249651188855e-14,5.62866983285042e-13
"YAL042W",668.761985910692,0.0944518135315952,0.0512147196061956,1.84423178058694,0.0651493686500617,0.140196220684356
"YAL043C",124.457185471168,-0.0291032278543778,0.111368123484868,-0.261324577838757,0.793842214525592,0.877072047729531
